"Date","Video Views","Profile Views","Likes","Comments","Shares"
"5 de mayo","0","0","0","0","0"
"6 de mayo","0","0","0","0","0"
"7 de mayo","0","0","0","0","0"
"8 de mayo","0","0","0","0","0"
"9 de mayo","0","0","0","0","0"
"10 de mayo","0","0","0","0","0"
"11 de mayo","0","0","0","0","0"
"12 de mayo","0","0","0","0","0"
"13 de mayo","0","0","0","0","0"
"14 de mayo","0","0","0","0","0"
"15 de mayo","0","0","0","0","0"
"16 de mayo","0","0","0","0","0"
"17 de mayo","0","0","0","0","0"
"18 de mayo","0","0","0","0","0"
"19 de mayo","0","0","0","0","0"
"20 de mayo","0","0","0","0","0"
"21 de mayo","0","0","0","0","0"
"22 de mayo","0","0","0","0","0"
"23 de mayo","0","0","0","0","0"
"24 de mayo","0","0","0","0","0"
"25 de mayo","0","0","0","0","0"
"26 de mayo","0","0","0","0","0"
"27 de mayo","0","0","0","0","0"
"28 de mayo","0","0","0","0","0"
"29 de mayo","0","0","0","0","0"
"30 de mayo","0","0","0","0","0"
"31 de mayo","0","0","0","0","0"
"1 de junio","0","0","0","0","0"
"2 de junio","0","0","0","0","0"
"3 de junio","0","0","0","0","0"
"4 de junio","0","0","0","0","0"
"5 de junio","0","0","0","0","0"
"6 de junio","0","0","0","0","0"
"7 de junio","0","0","0","0","0"
"8 de junio","0","0","0","0","0"
"9 de junio","0","0","0","0","0"
"10 de junio","0","0","0","0","0"
"11 de junio","0","0","0","0","0"
"12 de junio","0","0","0","0","0"
"13 de junio","0","0","0","0","0"
"14 de junio","0","0","0","0","0"
"15 de junio","0","0","0","0","0"
"16 de junio","0","0","0","0","0"
"17 de junio","0","0","0","0","0"
"18 de junio","0","0","0","0","0"
"19 de junio","0","0","0","0","0"
"20 de junio","0","0","0","0","0"
"21 de junio","0","0","0","0","0"
"22 de junio","0","0","0","0","0"
"23 de junio","0","0","0","0","0"
"24 de junio","0","0","0","0","0"
"25 de junio","0","0","0","0","0"
"26 de junio","0","0","0","0","0"
"27 de junio","0","0","0","0","0"
"28 de junio","0","0","0","0","0"
"29 de junio","0","0","0","0","0"
"30 de junio","0","0","0","0","0"
"1 de julio","0","0","0","0","0"
"2 de julio","0","0","0","0","0"
"3 de julio","0","0","0","0","0"
"4 de julio","0","0","0","0","0"
"5 de julio","0","0","0","0","0"
"6 de julio","0","0","0","0","0"
"7 de julio","0","0","0","0","0"
"8 de julio","0","0","0","0","0"
"9 de julio","0","0","0","0","0"
"10 de julio","0","0","0","0","0"
"11 de julio","0","0","0","0","0"
"12 de julio","0","0","0","0","0"
"13 de julio","0","0","0","0","0"
"14 de julio","0","0","0","0","0"
"15 de julio","0","0","0","0","0"
"16 de julio","0","0","0","0","0"
"17 de julio","0","0","0","0","0"
"18 de julio","0","0","0","0","0"
"19 de julio","0","0","0","0","0"
"20 de julio","0","0","0","0","0"
"21 de julio","0","0","0","0","0"
"22 de julio","0","0","0","0","0"
"23 de julio","0","0","0","0","0"
"24 de julio","0","0","0","0","0"
"25 de julio","0","0","0","0","0"
"26 de julio","0","0","0","0","0"
"27 de julio","0","0","0","0","0"
"28 de julio","0","0","0","0","0"
"29 de julio","0","0","0","0","0"
"30 de julio","0","0","0","0","0"
"31 de julio","0","0","0","0","0"
"1 de agosto","0","0","0","0","0"
"2 de agosto","0","0","0","0","0"
"3 de agosto","0","0","0","0","0"
"4 de agosto","0","0","0","0","0"
"5 de agosto","0","0","0","0","0"
"6 de agosto","0","0","0","0","0"
"7 de agosto","0","0","0","0","0"
"8 de agosto","0","0","0","0","0"
"9 de agosto","0","0","0","0","0"
"10 de agosto","0","0","0","0","0"
"11 de agosto","0","0","0","0","0"
"12 de agosto","0","0","0","0","0"
"13 de agosto","0","0","0","0","0"
"14 de agosto","0","0","0","0","0"
"15 de agosto","0","0","0","0","0"
"16 de agosto","0","0","0","0","0"
"17 de agosto","0","0","0","0","0"
"18 de agosto","0","0","0","0","0"
"19 de agosto","0","0","0","0","0"
"20 de agosto","0","0","0","0","0"
"21 de agosto","0","0","0","0","0"
"22 de agosto","0","0","0","0","0"
"23 de agosto","0","0","0","0","0"
"24 de agosto","0","0","0","0","0"
"25 de agosto","0","0","0","0","0"
"26 de agosto","0","0","0","0","0"
"27 de agosto","0","0","0","0","0"
"28 de agosto","0","0","0","0","0"
"29 de agosto","0","0","0","0","0"
"30 de agosto","0","0","0","0","0"
"31 de agosto","0","0","0","0","0"
"1 de septiembre","0","0","0","0","0"
"2 de septiembre","0","0","0","0","0"
"3 de septiembre","0","0","0","0","0"
"4 de septiembre","0","0","0","0","0"
"5 de septiembre","0","0","0","0","0"
"6 de septiembre","0","0","0","0","0"
"7 de septiembre","0","0","0","0","0"
"8 de septiembre","0","0","0","0","0"
"9 de septiembre","0","0","0","0","0"
"10 de septiembre","0","0","0","0","0"
"11 de septiembre","0","0","0","0","0"
"12 de septiembre","0","0","0","0","0"
"13 de septiembre","0","0","0","0","0"
"14 de septiembre","0","0","0","0","0"
"15 de septiembre","0","0","0","0","0"
"16 de septiembre","0","0","0","0","0"
"17 de septiembre","0","0","0","0","0"
"18 de septiembre","0","0","0","0","0"
"19 de septiembre","0","0","0","0","0"
"20 de septiembre","0","0","0","0","0"
"21 de septiembre","0","0","0","0","0"
"22 de septiembre","0","0","0","0","0"
"23 de septiembre","0","0","0","0","0"
"24 de septiembre","0","0","0","0","0"
"25 de septiembre","0","0","0","0","0"
"26 de septiembre","0","0","0","0","0"
"27 de septiembre","0","0","0","0","0"
"28 de septiembre","0","0","0","0","0"
"29 de septiembre","0","0","0","0","0"
"30 de septiembre","0","0","0","0","0"
"1 de octubre","0","0","0","0","0"
"2 de octubre","0","0","0","0","0"
"3 de octubre","0","0","0","0","0"
"4 de octubre","0","0","0","0","0"
"5 de octubre","0","0","0","0","0"
"6 de octubre","0","0","0","0","0"
"7 de octubre","0","0","0","0","0"
"8 de octubre","0","0","0","0","0"
"9 de octubre","0","0","0","0","0"
"10 de octubre","622","12","0","0","0"
"11 de octubre","7909","36","1548","16","111"
"12 de octubre","1486","7","49","0","0"
"13 de octubre","32","0","5","0","0"
"14 de octubre","6","1","2","0","0"
"15 de octubre","7","0","2","0","0"
"16 de octubre","2","1","1","0","0"
"17 de octubre","7","2","0","0","0"
"18 de octubre","1","0","0","0","0"
"19 de octubre","1264","53","5","0","0"
"20 de octubre","14","1","0","0","0"
"21 de octubre","5","1","0","0","0"
"22 de octubre","1","0","0","0","0"
"23 de octubre","0","0","0","0","0"
"24 de octubre","2","0","0","0","0"
"25 de octubre","4","1","0","0","0"
"26 de octubre","0","0","0","0","0"
"27 de octubre","2","0","0","0","0"
"28 de octubre","2","0","0","0","0"
"29 de octubre","3","0","0","0","0"
"30 de octubre","5","1","0","0","0"
"31 de octubre","5","0","0","0","0"
"1 de noviembre","12","0","0","0","0"
"2 de noviembre","18","0","0","0","0"
"3 de noviembre","2","0","0","0","0"
"4 de noviembre","1","0","0","0","0"
"5 de noviembre","5","0","0","0","0"
"6 de noviembre","5","0","0","0","0"
"7 de noviembre","2","0","0","0","0"
"8 de noviembre","3","0","0","0","0"
"9 de noviembre","5","0","0","0","0"
"10 de noviembre","1","0","0","0","0"
"11 de noviembre","1","0","0","0","0"
"12 de noviembre","1","0","0","0","0"
"13 de noviembre","2","0","0","0","0"
"14 de noviembre","1","0","0","0","0"
"15 de noviembre","2","0","0","0","0"
"16 de noviembre","0","0","0","0","0"
"17 de noviembre","1","0","0","0","0"
"18 de noviembre","4","0","0","0","0"
"19 de noviembre","1","0","0","0","0"
"20 de noviembre","1","0","0","0","0"
"21 de noviembre","4","0","0","0","0"
"22 de noviembre","0","0","0","0","0"
"23 de noviembre","0","0","0","0","0"
"24 de noviembre","1","0","0","0","0"
"25 de noviembre","7","0","2","1","0"
"26 de noviembre","0","1","0","0","0"
"27 de noviembre","1","0","0","0","0"
"28 de noviembre","1","0","0","0","0"
"29 de noviembre","0","0","0","0","0"
"30 de noviembre","0","1","0","0","0"
"1 de diciembre","0","0","0","0","0"
"2 de diciembre","0","0","0","0","0"
"3 de diciembre","0","0","0","0","0"
"4 de diciembre","0","0","0","0","0"
"5 de diciembre","9","1","0","1","0"
"6 de diciembre","17","0","2","1","0"
"7 de diciembre","9","0","0","0","0"
"8 de diciembre","10","0","2","0","0"
"9 de diciembre","11","0","0","0","0"
"10 de diciembre","8","0","0","0","0"
"11 de diciembre","0","0","0","0","0"
"12 de diciembre","2","0","0","0","0"
"13 de diciembre","1","0","0","0","0"
"14 de diciembre","3","0","0","0","0"
"15 de diciembre","1","0","0","0","0"
"16 de diciembre","0","0","0","0","0"
"17 de diciembre","1","0","0","0","0"
"18 de diciembre","0","0","0","0","0"
"19 de diciembre","0","0","0","0","0"
"20 de diciembre","1","0","0","0","0"
"21 de diciembre","1","0","0","0","0"
"22 de diciembre","3","0","0","0","0"
"23 de diciembre","0","0","0","0","0"
"24 de diciembre","0","0","0","0","0"
"25 de diciembre","0","0","0","0","0"
"26 de diciembre","0","0","0","0","0"
"27 de diciembre","6","0","0","0","0"
"28 de diciembre","2","0","0","0","0"
"29 de diciembre","1","0","0","0","0"
"30 de diciembre","4","1","0","0","0"
"31 de diciembre","2","2","0","0","0"
"1 de enero","3","0","0","0","0"
"2 de enero","2","0","0","0","0"
"3 de enero","5","0","0","0","0"
"4 de enero","5","0","0","0","0"
"5 de enero","2","0","0","0","0"
"6 de enero","1","0","0","0","0"
"7 de enero","1","0","0","0","0"
"8 de enero","4","0","0","0","0"
"9 de enero","4","0","0","0","0"
"10 de enero","10","1","0","0","0"
"11 de enero","5","0","0","0","0"
"12 de enero","2","0","0","0","0"
"13 de enero","8","0","0","0","0"
"14 de enero","6","0","0","0","0"
"15 de enero","7","0","0","0","0"
"16 de enero","4","0","0","0","0"
"17 de enero","11","1","0","0","0"
"18 de enero","7","0","0","0","0"
"19 de enero","8","0","0","0","0"
"20 de enero","3","0","0","0","0"
"21 de enero","5","0","0","0","0"
"22 de enero","6","1","0","0","0"
"23 de enero","6","0","0","0","0"
"24 de enero","6","0","0","0","0"
"25 de enero","8","0","0","0","0"
"26 de enero","4","0","0","0","0"
"27 de enero","1506","8","266","2","6"
"28 de enero","7589","67","1402","20","44"
"29 de enero","2554","23","378","7","25"
"30 de enero","213","0","2","0","0"
"31 de enero","60","0","1","0","0"
"1 de febrero","68","4","5","0","0"
"2 de febrero","41","1","1","0","0"
"3 de febrero","38","0","0","0","0"
"4 de febrero","40","0","1","0","0"
"5 de febrero","27","1","0","0","0"
"6 de febrero","30","0","0","0","0"
"7 de febrero","192","5","7","0","0"
"8 de febrero","107","3","1","0","0"
"9 de febrero","1876","6","8","0","0"
"10 de febrero","3513","7","13","0","0"
"11 de febrero","4704","9","5","2","0"
"12 de febrero","6209","7","41","0","1"
"13 de febrero","11942","11","191","0","1"
"14 de febrero","6137","7","3","3","0"
"15 de febrero","6607","9","10","0","5"
"16 de febrero","14437","17","224","13","30"
"17 de febrero","9237","3","111","11","11"
"18 de febrero","10561","10","12","0","63"
"19 de febrero","7703","8","14","0","9"
"20 de febrero","12225","9","217","1","7"
"21 de febrero","10267","9","124","0","3"
"22 de febrero","7571","5","7","0","0"
"23 de febrero","12054","11","14","0","3"
"24 de febrero","17069","9","372","1","3"
"25 de febrero","6115","7","8","2","1"
"26 de febrero","6761","3","17","0","0"
"27 de febrero","11209","10","17","0","0"
"28 de febrero","12079","10","21","0","2"
"1 de marzo","10096","11","16","0","1"
"2 de marzo","36619","38","31","-3","3"
"3 de marzo","12958","10","22","1","3"
"4 de marzo","11097","11","29","2","2"
"5 de marzo","10200","11","20","0","2"
"6 de marzo","11629","10","19","1","3"
"7 de marzo","12444","19","20","0","1"
"8 de marzo","11501","9","26","1","2"
"9 de marzo","8600","6","18","4","0"
"10 de marzo","9164","10","14","1","1"
"11 de marzo","8071","11","22","0","1"
"12 de marzo","7612","10","13","0","0"
